elapsed_s	provider	count	approx_bytes
8.249	AnimationController.activeAnimations	1	-
8.249	TextLayoutCache.entries	145	-
8.249	MemoryMetricRegistry.providerCount	6	-
8.754	MeasurementCache.entriesByIdentity	636	-
8.754	ViewGraph.nodesByIdentity	307	-
8.754	ImageAssetRepository.decodedImages	0	0
8.754	RetainedFrameIndex.placedByIdentity	282	4180
8.754	AnimationController.activeAnimations	1	-
8.754	TextLayoutCache.entries	145	-
8.754	MemoryMetricRegistry.providerCount	6	-
9.261	MeasurementCache.entriesByIdentity	636	-
9.261	ViewGraph.nodesByIdentity	307	-
9.261	ImageAssetRepository.decodedImages	0	0
9.261	RetainedFrameIndex.placedByIdentity	282	4180
9.261	AnimationController.activeAnimations	1	-
9.261	TextLayoutCache.entries	145	-
9.261	MemoryMetricRegistry.providerCount	6	-
9.764	MeasurementCache.entriesByIdentity	636	-
9.764	ViewGraph.nodesByIdentity	307	-
9.764	ImageAssetRepository.decodedImages	0	0
9.764	RetainedFrameIndex.placedByIdentity	282	4180
9.764	AnimationController.activeAnimations	1	-
9.764	TextLayoutCache.entries	145	-
9.764	MemoryMetricRegistry.providerCount	6	-
10.272	MeasurementCache.entriesByIdentity	636	-
10.272	ViewGraph.nodesByIdentity	307	-
10.272	ImageAssetRepository.decodedImages	0	0
10.272	RetainedFrameIndex.placedByIdentity	282	4180
10.272	AnimationController.activeAnimations	1	-
10.272	TextLayoutCache.entries	145	-
10.272	MemoryMetricRegistry.providerCount	6	-
10.780	MeasurementCache.entriesByIdentity	636	-
10.780	ViewGraph.nodesByIdentity	307	-
10.780	ImageAssetRepository.decodedImages	0	0
10.780	RetainedFrameIndex.placedByIdentity	282	4180
10.780	AnimationController.activeAnimations	1	-
10.780	TextLayoutCache.entries	145	-
10.780	MemoryMetricRegistry.providerCount	6	-
11.286	MeasurementCache.entriesByIdentity	636	-
11.286	ViewGraph.nodesByIdentity	307	-
11.286	ImageAssetRepository.decodedImages	0	0
11.286	RetainedFrameIndex.placedByIdentity	282	4180
11.286	AnimationController.activeAnimations	1	-
11.286	TextLayoutCache.entries	145	-
11.286	MemoryMetricRegistry.providerCount	6	-
11.788	MeasurementCache.entriesByIdentity	636	-
11.788	ViewGraph.nodesByIdentity	307	-
11.788	ImageAssetRepository.decodedImages	0	0
11.788	RetainedFrameIndex.placedByIdentity	282	4180
11.788	AnimationController.activeAnimations	1	-
11.788	TextLayoutCache.entries	145	-
11.788	MemoryMetricRegistry.providerCount	6	-
12.298	MeasurementCache.entriesByIdentity	636	-
12.298	ViewGraph.nodesByIdentity	307	-
12.298	ImageAssetRepository.decodedImages	0	0
12.298	RetainedFrameIndex.placedByIdentity	282	4180
12.298	AnimationController.activeAnimations	1	-
12.298	TextLayoutCache.entries	145	-
12.298	MemoryMetricRegistry.providerCount	6	-
12.804	MeasurementCache.entriesByIdentity	636	-
12.804	ViewGraph.nodesByIdentity	307	-
12.804	ImageAssetRepository.decodedImages	0	0
12.804	RetainedFrameIndex.placedByIdentity	282	4180
12.804	AnimationController.activeAnimations	1	-
12.804	TextLayoutCache.entries	145	-
12.804	MemoryMetricRegistry.providerCount	6	-
13.307	MeasurementCache.entriesByIdentity	636	-
13.307	ViewGraph.nodesByIdentity	307	-
13.307	ImageAssetRepository.decodedImages	0	0
13.307	RetainedFrameIndex.placedByIdentity	282	4180
13.307	AnimationController.activeAnimations	1	-
13.307	TextLayoutCache.entries	145	-
13.307	MemoryMetricRegistry.providerCount	6	-
13.810	MeasurementCache.entriesByIdentity	636	-
13.810	ViewGraph.nodesByIdentity	307	-
13.810	ImageAssetRepository.decodedImages	0	0
13.810	RetainedFrameIndex.placedByIdentity	282	4180
13.810	AnimationController.activeAnimations	1	-
13.810	TextLayoutCache.entries	145	-
13.810	MemoryMetricRegistry.providerCount	6	-
14.315	MeasurementCache.entriesByIdentity	636	-
14.315	ViewGraph.nodesByIdentity	307	-
14.315	ImageAssetRepository.decodedImages	0	0
14.315	RetainedFrameIndex.placedByIdentity	282	4180
14.315	AnimationController.activeAnimations	1	-
14.315	TextLayoutCache.entries	145	-
14.315	MemoryMetricRegistry.providerCount	6	-
14.818	MeasurementCache.entriesByIdentity	636	-
14.818	ViewGraph.nodesByIdentity	307	-
14.818	ImageAssetRepository.decodedImages	0	0
14.818	RetainedFrameIndex.placedByIdentity	282	4180
14.818	AnimationController.activeAnimations	1	-
14.818	TextLayoutCache.entries	145	-
14.818	MemoryMetricRegistry.providerCount	6	-
15.322	MeasurementCache.entriesByIdentity	636	-
15.322	ViewGraph.nodesByIdentity	307	-
15.322	ImageAssetRepository.decodedImages	0	0
15.322	RetainedFrameIndex.placedByIdentity	282	4180
15.322	AnimationController.activeAnimations	1	-
15.322	TextLayoutCache.entries	145	-
15.322	MemoryMetricRegistry.providerCount	6	-
15.822	MeasurementCache.entriesByIdentity	636	-
15.822	ViewGraph.nodesByIdentity	307	-
15.822	ImageAssetRepository.decodedImages	0	0
15.822	RetainedFrameIndex.placedByIdentity	282	4180
15.822	AnimationController.activeAnimations	1	-
15.822	TextLayoutCache.entries	145	-
15.822	MemoryMetricRegistry.providerCount	6	-
16.326	MeasurementCache.entriesByIdentity	636	-
16.326	ViewGraph.nodesByIdentity	307	-
16.326	ImageAssetRepository.decodedImages	0	0
16.326	RetainedFrameIndex.placedByIdentity	282	4180
16.326	AnimationController.activeAnimations	1	-
16.326	TextLayoutCache.entries	145	-
16.326	MemoryMetricRegistry.providerCount	6	-
16.832	MeasurementCache.entriesByIdentity	636	-
16.832	ViewGraph.nodesByIdentity	307	-
16.832	ImageAssetRepository.decodedImages	0	0
16.832	RetainedFrameIndex.placedByIdentity	282	4180
16.832	AnimationController.activeAnimations	1	-
16.832	TextLayoutCache.entries	145	-
