elapsed_s	provider	count	approx_bytes
8.195	AnimationController.activeAnimations	0	-
8.195	RetainedFrameIndex.placedByIdentity	183	4180
8.195	MemoryMetricRegistry.providerCount	6	-
8.697	ViewGraph.nodesByIdentity	203	-
8.697	TextLayoutCache.entries	132	-
8.697	ImageAssetRepository.decodedImages	0	0
8.697	MeasurementCache.entriesByIdentity	310	-
8.697	AnimationController.activeAnimations	0	-
8.697	RetainedFrameIndex.placedByIdentity	183	4180
8.697	MemoryMetricRegistry.providerCount	6	-
9.200	ViewGraph.nodesByIdentity	203	-
9.200	TextLayoutCache.entries	138	-
9.200	ImageAssetRepository.decodedImages	0	0
9.200	MeasurementCache.entriesByIdentity	310	-
9.200	AnimationController.activeAnimations	0	-
9.200	RetainedFrameIndex.placedByIdentity	183	4180
9.200	MemoryMetricRegistry.providerCount	6	-
9.702	ViewGraph.nodesByIdentity	203	-
9.702	TextLayoutCache.entries	138	-
9.702	ImageAssetRepository.decodedImages	0	0
9.702	MeasurementCache.entriesByIdentity	310	-
9.702	AnimationController.activeAnimations	0	-
9.702	RetainedFrameIndex.placedByIdentity	183	4180
9.702	MemoryMetricRegistry.providerCount	6	-
10.225	ViewGraph.nodesByIdentity	203	-
10.225	TextLayoutCache.entries	140	-
10.225	ImageAssetRepository.decodedImages	0	0
10.225	MeasurementCache.entriesByIdentity	310	-
10.225	AnimationController.activeAnimations	0	-
10.225	RetainedFrameIndex.placedByIdentity	183	4180
10.225	MemoryMetricRegistry.providerCount	6	-
10.727	ViewGraph.nodesByIdentity	203	-
10.727	TextLayoutCache.entries	140	-
10.727	ImageAssetRepository.decodedImages	0	0
10.727	MeasurementCache.entriesByIdentity	311	-
10.727	AnimationController.activeAnimations	0	-
10.727	RetainedFrameIndex.placedByIdentity	183	4180
10.727	MemoryMetricRegistry.providerCount	6	-
11.250	ViewGraph.nodesByIdentity	203	-
11.250	TextLayoutCache.entries	142	-
11.250	ImageAssetRepository.decodedImages	0	0
11.250	MeasurementCache.entriesByIdentity	310	-
11.250	AnimationController.activeAnimations	0	-
11.250	RetainedFrameIndex.placedByIdentity	183	4180
11.250	MemoryMetricRegistry.providerCount	6	-
11.761	ViewGraph.nodesByIdentity	203	-
11.761	TextLayoutCache.entries	142	-
11.761	ImageAssetRepository.decodedImages	0	0
11.761	MeasurementCache.entriesByIdentity	310	-
11.761	AnimationController.activeAnimations	0	-
11.761	RetainedFrameIndex.placedByIdentity	183	4180
11.761	MemoryMetricRegistry.providerCount	6	-
12.269	ViewGraph.nodesByIdentity	203	-
12.269	TextLayoutCache.entries	146	-
12.269	ImageAssetRepository.decodedImages	0	0
12.269	MeasurementCache.entriesByIdentity	310	-
12.269	AnimationController.activeAnimations	0	-
12.269	RetainedFrameIndex.placedByIdentity	183	4180
12.269	MemoryMetricRegistry.providerCount	6	-
12.771	ViewGraph.nodesByIdentity	203	-
12.771	TextLayoutCache.entries	146	-
12.771	ImageAssetRepository.decodedImages	0	0
12.771	MeasurementCache.entriesByIdentity	310	-
12.771	AnimationController.activeAnimations	0	-
12.771	RetainedFrameIndex.placedByIdentity	183	4180
